LibB.Seq5 LibB.Seq28036
LibB.Seq5502 LibB.Seq28759
LibB.Seq5524 LibB.Seq27977
LibB.Seq5529 LibB.Seq27747
LibB.Seq5540 LibB.Seq28330
LibB.Seq5541 LibB.Seq27731
LibB.Seq5544 LibB.Seq27696
LibB.Seq5567 LibB.Seq28136
LibB.Seq5582 LibB.Seq27663
LibB.Seq5590 LibB.Seq28735
LibB.Seq5592 LibB.Seq28926
LibB.Seq5602 LibB.Seq28496
LibB.Seq5606 LibB.Seq27876
LibB.Seq5618 LibB.Seq28247
LibB.Seq5622 LibB.Seq28409
LibB.Seq5626 LibB.Seq27581
LibB.Seq5629 LibB.Seq27907
LibB.Seq5643 LibB.Seq28704
LibB.Seq5645 LibB.Seq27595
LibB.Seq5656 LibB.Seq28844
LibB.Seq5663 LibB.Seq28229
LibB.Seq5689 LibB.Seq27770
LibB.Seq5699 LibB.Seq28829
LibB.Seq5704 LibB.Seq28168
LibB.Seq5714 LibB.Seq27931
LibB.Seq5717 LibB.Seq28967
LibB.Seq5722 LibB.Seq28029
LibB.Seq5723 LibB.Seq27997
LibB.Seq5726 LibB.Seq27793
LibB.Seq5727 LibB.Seq28921
LibB.Seq5738 LibB.Seq28469
LibB.Seq5739 LibB.Seq28162
LibB.Seq5740 LibB.Seq27806
LibB.Seq5754 LibB.Seq27703
LibB.Seq5758 LibB.Seq28296
LibB.Seq5761 LibB.Seq28282
LibB.Seq5763 LibB.Seq27680
LibB.Seq5775 LibB.Seq28522
LibB.Seq5789 LibB.Seq27685
LibB.Seq5793 LibB.Seq27807
LibB.Seq5798 LibB.Seq28628
LibB.Seq5801 LibB.Seq27991
LibB.Seq5803 LibB.Seq28370
LibB.Seq5808 LibB.Seq28006
LibB.Seq5814 LibB.Seq28173
LibB.Seq5836 LibB.Seq28920
LibB.Seq5837 LibB.Seq28407
LibB.Seq5857 LibB.Seq28895
LibB.Seq5858 LibB.Seq27683
LibB.Seq5861 LibB.Seq27887
LibB.Seq5872 LibB.Seq27732
LibB.Seq5890 LibB.Seq27612
LibB.Seq5906 LibB.Seq28328
LibB.Seq5912 LibB.Seq28487
LibB.Seq5915 LibB.Seq27504
LibB.Seq5921 LibB.Seq28733
LibB.Seq5923 LibB.Seq28460
LibB.Seq5939 LibB.Seq28758
LibB.Seq5945 LibB.Seq27535
LibB.Seq5946 LibB.Seq28164
LibB.Seq5950 LibB.Seq27676
LibB.Seq5956 LibB.Seq28012
LibB.Seq5981 LibB.Seq27640
LibB.Seq5989 LibB.Seq27580
LibB.Seq5992 LibB.Seq27909
LibB.Seq5994 LibB.Seq27936
LibB.Seq6007 LibB.Seq28889
LibB.Seq6011 LibB.Seq28975
LibB.Seq6019 LibB.Seq28960
LibB.Seq6021 LibB.Seq28222
LibB.Seq6030 LibB.Seq27889
LibB.Seq6036 LibB.Seq27619
LibB.Seq6039 LibB.Seq28795
LibB.Seq6059 LibB.Seq27691
LibB.Seq6062 LibB.Seq28227
LibB.Seq6066 LibB.Seq28317
LibB.Seq6075 LibB.Seq28009
LibB.Seq6088 LibB.Seq28642
LibB.Seq6095 LibB.Seq27721
LibB.Seq6110 LibB.Seq28216
LibB.Seq6112 LibB.Seq27902
LibB.Seq6117 LibB.Seq28821
LibB.Seq6135 LibB.Seq27582
LibB.Seq6138 LibB.Seq27730
LibB.Seq6148 LibB.Seq28633
LibB.Seq6149 LibB.Seq28804
LibB.Seq6154 LibB.Seq27601
LibB.Seq6165 LibB.Seq27798
LibB.Seq6172 LibB.Seq27729
LibB.Seq6189 LibB.Seq27650
LibB.Seq6200 LibB.Seq28958
LibB.Seq6207 LibB.Seq28084
LibB.Seq6216 LibB.Seq27621
LibB.Seq6221 LibB.Seq28712
LibB.Seq6222 LibB.Seq27630
LibB.Seq6234 LibB.Seq28840
LibB.Seq6242 LibB.Seq28566
LibB.Seq6249 LibB.Seq27841
LibB.Seq6252 LibB.Seq28461
LibB.Seq6258 LibB.Seq28870
LibB.Seq6259 LibB.Seq27853
LibB.Seq6279 LibB.Seq28432
LibB.Seq6295 LibB.Seq28940
LibB.Seq6298 LibB.Seq27641
LibB.Seq6308 LibB.Seq27724
LibB.Seq6314 LibB.Seq28294
LibB.Seq6316 LibB.Seq28440
LibB.Seq6318 LibB.Seq27553
LibB.Seq6323 LibB.Seq28757
LibB.Seq6333 LibB.Seq28729
LibB.Seq6334 LibB.Seq28922
LibB.Seq6335 LibB.Seq28113
LibB.Seq6342 LibB.Seq28047
LibB.Seq6344 LibB.Seq27964
LibB.Seq6345 LibB.Seq28681
LibB.Seq6352 LibB.Seq27677
LibB.Seq6353 LibB.Seq27947
LibB.Seq6361 LibB.Seq27707
LibB.Seq6362 LibB.Seq28312
LibB.Seq6380 LibB.Seq28112
LibB.Seq6382 LibB.Seq28434
LibB.Seq6385 LibB.Seq28120
LibB.Seq6391 LibB.Seq27999
LibB.Seq6399 LibB.Seq28601
LibB.Seq6400 LibB.Seq27885
LibB.Seq6405 LibB.Seq27903
LibB.Seq6415 LibB.Seq28813
LibB.Seq6428 LibB.Seq27594
LibB.Seq6431 LibB.Seq28333
LibB.Seq6434 LibB.Seq28680
LibB.Seq6444 LibB.Seq27973
LibB.Seq6457 LibB.Seq27914
LibB.Seq6461 LibB.Seq27987
LibB.Seq6478 LibB.Seq28843
LibB.Seq6486 LibB.Seq27588
LibB.Seq6497 LibB.Seq27637
LibB.Seq6499 LibB.Seq27589
LibB.Seq6503 LibB.Seq28313
LibB.Seq6506 LibB.Seq27988
LibB.Seq6526 LibB.Seq28183
LibB.Seq6533 LibB.Seq28944
LibB.Seq6544 LibB.Seq28501
LibB.Seq6545 LibB.Seq28406
LibB.Seq6550 LibB.Seq28174
LibB.Seq6565 LibB.Seq27764
LibB.Seq6572 LibB.Seq27722
LibB.Seq6573 LibB.Seq28594
LibB.Seq6578 LibB.Seq28966
LibB.Seq6585 LibB.Seq28058
LibB.Seq6599 LibB.Seq28773
LibB.Seq6611 LibB.Seq27560
LibB.Seq6622 LibB.Seq27895
LibB.Seq6633 LibB.Seq28341
LibB.Seq6651 LibB.Seq28632
LibB.Seq6653 LibB.Seq28254
LibB.Seq6660 LibB.Seq27812
LibB.Seq6692 LibB.Seq28809
LibB.Seq6694 LibB.Seq27636
LibB.Seq6701 LibB.Seq27782
LibB.Seq6712 LibB.Seq28693
LibB.Seq6731 LibB.Seq28194
LibB.Seq6733 LibB.Seq27937
LibB.Seq6746 LibB.Seq28425
LibB.Seq6781 LibB.Seq28530
LibB.Seq6789 LibB.Seq27801
LibB.Seq6818 LibB.Seq27912
LibB.Seq6825 LibB.Seq27942
LibB.Seq6857 LibB.Seq27787
LibB.Seq6880 LibB.Seq28369
LibB.Seq6886 LibB.Seq28558
LibB.Seq6893 LibB.Seq28814
LibB.Seq6897 LibB.Seq28836
LibB.Seq6905 LibB.Seq28389
LibB.Seq6914 LibB.Seq28728
LibB.Seq6922 LibB.Seq27720
LibB.Seq6926 LibB.Seq28915
LibB.Seq6936 LibB.Seq27890
LibB.Seq6941 LibB.Seq28373
LibB.Seq6952 LibB.Seq28272
LibB.Seq6961 LibB.Seq28721
LibB.Seq6967 LibB.Seq28874
LibB.Seq6974 LibB.Seq27800
LibB.Seq6976 LibB.Seq27644
LibB.Seq6977 LibB.Seq28381
LibB.Seq6980 LibB.Seq27915
LibB.Seq6990 LibB.Seq27577
LibB.Seq6991 LibB.Seq28945
LibB.Seq6998 LibB.Seq27834
LibB.Seq7001 LibB.Seq28024
LibB.Seq7008 LibB.Seq28645
LibB.Seq7014 LibB.Seq28781
LibB.Seq7021 LibB.Seq28607
LibB.Seq7024 LibB.Seq27657
LibB.Seq7026 LibB.Seq28105
LibB.Seq7047 LibB.Seq28384
LibB.Seq7054 LibB.Seq27971
LibB.Seq7057 LibB.Seq28018
LibB.Seq7062 LibB.Seq28232
LibB.Seq7072 LibB.Seq28830
LibB.Seq7082 LibB.Seq27576
LibB.Seq7087 LibB.Seq28362
LibB.Seq7088 LibB.Seq28950
LibB.Seq7107 LibB.Seq27990
LibB.Seq7118 LibB.Seq28456
LibB.Seq7133 LibB.Seq28955
LibB.Seq7138 LibB.Seq27926
LibB.Seq7144 LibB.Seq28436
LibB.Seq7149 LibB.Seq28744
LibB.Seq7150 LibB.Seq27838
LibB.Seq7153 LibB.Seq28503
LibB.Seq7176 LibB.Seq28500
LibB.Seq7197 LibB.Seq28740
LibB.Seq7204 LibB.Seq28592
LibB.Seq7208 LibB.Seq28625
LibB.Seq7215 LibB.Seq28585
LibB.Seq7225 LibB.Seq27976
LibB.Seq7231 LibB.Seq27611
LibB.Seq7234 LibB.Seq28552
LibB.Seq7248 LibB.Seq28867
LibB.Seq7253 LibB.Seq28429
LibB.Seq7254 LibB.Seq28627
LibB.Seq7270 LibB.Seq28725
LibB.Seq7282 LibB.Seq28103
LibB.Seq7285 LibB.Seq27797
LibB.Seq7287 LibB.Seq28514
LibB.Seq7301 LibB.Seq28512
LibB.Seq7315 LibB.Seq28093
LibB.Seq7328 LibB.Seq27879
LibB.Seq7330 LibB.Seq28826
LibB.Seq7334 LibB.Seq28234
LibB.Seq7337 LibB.Seq27877
LibB.Seq7341 LibB.Seq28450
LibB.Seq7366 LibB.Seq27528
LibB.Seq7387 LibB.Seq28274
LibB.Seq7397 LibB.Seq28765
LibB.Seq7405 LibB.Seq28752
LibB.Seq7413 LibB.Seq28345
LibB.Seq7418 LibB.Seq27823
LibB.Seq7419 LibB.Seq28122
LibB.Seq7433 LibB.Seq27523
LibB.Seq7439 LibB.Seq28368
LibB.Seq7451 LibB.Seq28640
LibB.Seq7457 LibB.Seq28416
LibB.Seq7463 LibB.Seq28621
LibB.Seq7464 LibB.Seq28176
LibB.Seq7468 LibB.Seq27529
LibB.Seq7473 LibB.Seq27754
LibB.Seq7477 LibB.Seq28246
LibB.Seq7493 LibB.Seq28598
LibB.Seq7497 LibB.Seq28938
LibB.Seq7500 LibB.Seq28822
LibB.Seq7502 LibB.Seq28198
LibB.Seq7516 LibB.Seq28730
LibB.Seq7519 LibB.Seq28599
LibB.Seq7521 LibB.Seq28094
LibB.Seq7523 LibB.Seq28208
LibB.Seq7524 LibB.Seq28339
LibB.Seq7545 LibB.Seq28017
LibB.Seq7548 LibB.Seq28007
LibB.Seq7552 LibB.Seq28295
LibB.Seq7559 LibB.Seq28348
LibB.Seq7565 LibB.Seq27708
LibB.Seq7582 LibB.Seq28144
LibB.Seq7583 LibB.Seq27725
LibB.Seq7599 LibB.Seq28329
LibB.Seq7602 LibB.Seq27864
LibB.Seq7604 LibB.Seq28881
LibB.Seq7615 LibB.Seq28102
LibB.Seq7629 LibB.Seq28869
LibB.Seq7637 LibB.Seq27825
LibB.Seq7660 LibB.Seq28352
LibB.Seq7661 LibB.Seq28593
LibB.Seq7665 LibB.Seq28242
LibB.Seq7667 LibB.Seq27533
LibB.Seq7677 LibB.Seq28256
LibB.Seq7682 LibB.Seq28438
LibB.Seq7683 LibB.Seq28902
LibB.Seq7685 LibB.Seq28533
LibB.Seq7693 LibB.Seq28912
LibB.Seq7696 LibB.Seq28455
LibB.Seq7725 LibB.Seq28986
LibB.Seq7745 LibB.Seq28584
LibB.Seq7758 LibB.Seq27686
LibB.Seq7759 LibB.Seq27975
LibB.Seq7760 LibB.Seq28091
LibB.Seq7765 LibB.Seq28857
LibB.Seq7774 LibB.Seq28095
LibB.Seq7779 LibB.Seq28197
LibB.Seq7786 LibB.Seq27848
LibB.Seq7794 LibB.Seq27918
LibB.Seq7802 LibB.Seq27596
LibB.Seq7814 LibB.Seq27654
LibB.Seq7825 LibB.Seq28717
LibB.Seq7827 LibB.Seq28323
LibB.Seq7886 LibB.Seq28337
LibB.Seq7889 LibB.Seq28050
LibB.Seq7903 LibB.Seq28893
LibB.Seq7907 LibB.Seq28661
LibB.Seq7916 LibB.Seq28690
LibB.Seq7943 LibB.Seq28209
LibB.Seq7947 LibB.Seq27925
LibB.Seq7969 LibB.Seq28574
LibB.Seq7978 LibB.Seq27852
LibB.Seq7984 LibB.Seq28315
LibB.Seq7994 LibB.Seq28458
LibB.Seq8000 LibB.Seq28127
LibB.Seq8007 LibB.Seq28562
LibB.Seq8010 LibB.Seq28193
LibB.Seq8013 LibB.Seq28581
LibB.Seq8014 LibB.Seq28971
LibB.Seq8015 LibB.Seq27816
LibB.Seq8019 LibB.Seq28984
LibB.Seq8022 LibB.Seq28892
LibB.Seq8032 LibB.Seq28086
LibB.Seq8044 LibB.Seq28070
LibB.Seq8055 LibB.Seq28619
LibB.Seq8067 LibB.Seq28799
LibB.Seq8069 LibB.Seq27978
LibB.Seq8071 LibB.Seq27551
LibB.Seq8099 LibB.Seq28508
LibB.Seq8100 LibB.Seq28448
LibB.Seq8128 LibB.Seq27886
LibB.Seq8131 LibB.Seq28495
LibB.Seq8154 LibB.Seq28472
LibB.Seq8157 LibB.Seq27540
LibB.Seq8166 LibB.Seq28224
LibB.Seq8167 LibB.Seq28753
LibB.Seq8170 LibB.Seq27638
LibB.Seq8174 LibB.Seq27778
LibB.Seq8178 LibB.Seq28860
LibB.Seq8183 LibB.Seq27955
LibB.Seq8204 LibB.Seq28097
LibB.Seq8209 LibB.Seq28089
LibB.Seq8216 LibB.Seq28917
LibB.Seq8228 LibB.Seq27951
LibB.Seq8230 LibB.Seq28807
LibB.Seq8239 LibB.Seq28612
LibB.Seq8240 LibB.Seq28649
LibB.Seq8252 LibB.Seq27758
LibB.Seq8256 LibB.Seq28745
LibB.Seq8257 LibB.Seq28987
LibB.Seq8264 LibB.Seq27670
LibB.Seq8279 LibB.Seq28243
LibB.Seq8281 LibB.Seq27591
LibB.Seq8311 LibB.Seq27545
LibB.Seq8321 LibB.Seq28746
LibB.Seq8328 LibB.Seq28139
LibB.Seq8332 LibB.Seq28878
LibB.Seq8333 LibB.Seq28358
LibB.Seq8347 LibB.Seq27547
LibB.Seq8356 LibB.Seq27757
LibB.Seq8364 LibB.Seq28175
LibB.Seq8371 LibB.Seq27736
LibB.Seq8377 LibB.Seq27869
LibB.Seq8388 LibB.Seq28110
LibB.Seq8406 LibB.Seq27668
LibB.Seq8409 LibB.Seq27743
LibB.Seq8415 LibB.Seq27665
LibB.Seq8440 LibB.Seq28299
LibB.Seq8450 LibB.Seq28305
LibB.Seq8461 LibB.Seq27868
LibB.Seq8464 LibB.Seq28030
LibB.Seq8472 LibB.Seq28739
LibB.Seq8502 LibB.Seq28126
LibB.Seq8507 LibB.Seq28387
LibB.Seq8508 LibB.Seq27699
LibB.Seq8512 LibB.Seq28480
LibB.Seq8513 LibB.Seq28046
LibB.Seq8525 LibB.Seq27520
LibB.Seq8536 LibB.Seq28545
LibB.Seq8542 LibB.Seq28297
LibB.Seq8556 LibB.Seq27846
LibB.Seq8564 LibB.Seq28439
LibB.Seq8565 LibB.Seq28283
LibB.Seq8570 LibB.Seq28900
LibB.Seq8579 LibB.Seq28201
LibB.Seq8583 LibB.Seq27836
LibB.Seq8608 LibB.Seq28493
LibB.Seq8612 LibB.Seq28588
LibB.Seq8617 LibB.Seq27623
LibB.Seq8620 LibB.Seq28715
LibB.Seq8621 LibB.Seq28697
LibB.Seq8633 LibB.Seq28845
LibB.Seq8634 LibB.Seq27788
LibB.Seq8674 LibB.Seq28698
LibB.Seq8680 LibB.Seq28204
LibB.Seq8685 LibB.Seq27709
LibB.Seq8686 LibB.Seq28080
LibB.Seq8708 LibB.Seq28796
LibB.Seq8711 LibB.Seq29000
LibB.Seq8718 LibB.Seq28355
LibB.Seq8725 LibB.Seq27949
LibB.Seq8736 LibB.Seq28992
LibB.Seq8745 LibB.Seq27658
LibB.Seq8748 LibB.Seq28431
LibB.Seq8775 LibB.Seq28683
LibB.Seq8777 LibB.Seq28734
LibB.Seq8794 LibB.Seq28933
LibB.Seq8802 LibB.Seq28749
LibB.Seq8803 LibB.Seq27695
LibB.Seq8808 LibB.Seq28798
LibB.Seq8821 LibB.Seq28525
LibB.Seq8836 LibB.Seq27969
LibB.Seq8840 LibB.Seq28819
LibB.Seq8844 LibB.Seq28671
LibB.Seq8848 LibB.Seq28629
LibB.Seq8852 LibB.Seq28147
LibB.Seq8853 LibB.Seq28248
LibB.Seq8857 LibB.Seq28788
LibB.Seq8865 LibB.Seq28161
LibB.Seq8876 LibB.Seq28324
LibB.Seq8894 LibB.Seq28111
LibB.Seq8909 LibB.Seq28290
LibB.Seq8914 LibB.Seq28536
LibB.Seq8920 LibB.Seq28791
LibB.Seq8935 LibB.Seq28901
LibB.Seq8939 LibB.Seq27966
LibB.Seq8940 LibB.Seq27550
LibB.Seq8942 LibB.Seq28994
LibB.Seq8954 LibB.Seq28374
LibB.Seq8964 LibB.Seq28016
LibB.Seq8986 LibB.Seq28316
LibB.Seq8988 LibB.Seq28742
LibB.Seq8993 LibB.Seq27855
LibB.Seq8994 LibB.Seq27675
LibB.Seq9012 LibB.Seq28790
LibB.Seq9026 LibB.Seq27986
LibB.Seq9030 LibB.Seq28812
LibB.Seq9034 LibB.Seq28722
LibB.Seq9043 LibB.Seq28481
LibB.Seq9050 LibB.Seq27573
LibB.Seq9052 LibB.Seq27570
LibB.Seq9075 LibB.Seq27733
LibB.Seq9076 LibB.Seq27772
LibB.Seq9081 LibB.Seq28217
LibB.Seq9084 LibB.Seq28377
LibB.Seq9099 LibB.Seq28413
LibB.Seq9109 LibB.Seq28885
LibB.Seq9112 LibB.Seq28853
LibB.Seq9113 LibB.Seq28263
LibB.Seq9122 LibB.Seq27872
LibB.Seq9126 LibB.Seq27799
LibB.Seq9129 LibB.Seq28359
LibB.Seq9133 LibB.Seq28419
LibB.Seq9160 LibB.Seq28063
LibB.Seq9163 LibB.Seq28485
LibB.Seq9174 LibB.Seq28371
LibB.Seq9184 LibB.Seq27786
LibB.Seq9197 LibB.Seq28417
LibB.Seq9199 LibB.Seq28411
LibB.Seq9200 LibB.Seq28459
LibB.Seq9224 LibB.Seq27628
LibB.Seq9228 LibB.Seq28392
LibB.Seq9247 LibB.Seq27791
LibB.Seq9249 LibB.Seq28001
LibB.Seq9262 LibB.Seq28718
LibB.Seq9264 LibB.Seq28899
LibB.Seq9284 LibB.Seq27519
LibB.Seq9285 LibB.Seq28298
LibB.Seq9292 LibB.Seq28306
LibB.Seq9309 LibB.Seq27746
LibB.Seq9310 LibB.Seq28587
LibB.Seq9341 LibB.Seq28280
LibB.Seq9353 LibB.Seq28913
LibB.Seq9358 LibB.Seq28800
LibB.Seq9360 LibB.Seq28489
LibB.Seq9363 LibB.Seq28687
LibB.Seq9366 LibB.Seq27767
LibB.Seq9369 LibB.Seq28322
LibB.Seq9376 LibB.Seq28677
LibB.Seq9380 LibB.Seq28695
LibB.Seq9383 LibB.Seq28518
LibB.Seq9390 LibB.Seq28654
LibB.Seq9396 LibB.Seq28620
LibB.Seq9413 LibB.Seq28572
LibB.Seq9417 LibB.Seq28334
LibB.Seq9420 LibB.Seq27804
LibB.Seq9426 LibB.Seq27891
LibB.Seq9438 LibB.Seq28060
LibB.Seq9440 LibB.Seq28376
LibB.Seq9442 LibB.Seq28117
LibB.Seq9450 LibB.Seq28187
LibB.Seq9457 LibB.Seq27860
LibB.Seq9474 LibB.Seq27774
LibB.Seq9486 LibB.Seq28043
LibB.Seq9511 LibB.Seq27756
LibB.Seq9514 LibB.Seq28393
LibB.Seq9527 LibB.Seq28911
LibB.Seq9528 LibB.Seq28988
LibB.Seq9540 LibB.Seq28663
LibB.Seq9547 LibB.Seq28106
LibB.Seq9548 LibB.Seq27512
LibB.Seq9559 LibB.Seq28427
LibB.Seq9566 LibB.Seq27993
LibB.Seq9578 LibB.Seq28142
LibB.Seq9594 LibB.Seq27673
LibB.Seq9595 LibB.Seq28285
LibB.Seq9608 LibB.Seq27979
LibB.Seq9610 LibB.Seq27884
LibB.Seq9615 LibB.Seq28524
LibB.Seq9632 LibB.Seq27938
LibB.Seq9642 LibB.Seq27704
LibB.Seq9645 LibB.Seq27716
LibB.Seq9646 LibB.Seq28579
LibB.Seq9661 LibB.Seq27679
LibB.Seq9665 LibB.Seq27865
LibB.Seq9674 LibB.Seq28520
LibB.Seq9678 LibB.Seq28802
LibB.Seq9684 LibB.Seq28157
LibB.Seq9695 LibB.Seq28956
LibB.Seq9702 LibB.Seq28502
LibB.Seq9721 LibB.Seq28403
LibB.Seq9735 LibB.Seq28834
LibB.Seq9736 LibB.Seq27854
LibB.Seq9739 LibB.Seq27646
LibB.Seq9750 LibB.Seq27705
LibB.Seq9751 LibB.Seq28178
LibB.Seq9760 LibB.Seq28839
LibB.Seq9762 LibB.Seq28993
LibB.Seq9776 LibB.Seq28195
LibB.Seq9797 LibB.Seq27735
LibB.Seq9805 LibB.Seq28245
LibB.Seq9807 LibB.Seq27672
LibB.Seq9821 LibB.Seq28886
LibB.Seq9826 LibB.Seq28879
LibB.Seq9828 LibB.Seq28995
LibB.Seq9835 LibB.Seq28228
LibB.Seq9843 LibB.Seq28470
LibB.Seq9850 LibB.Seq27544
LibB.Seq9852 LibB.Seq27548
LibB.Seq9867 LibB.Seq27867
LibB.Seq9875 LibB.Seq28934
LibB.Seq9881 LibB.Seq28529
LibB.Seq9890 LibB.Seq27893
LibB.Seq9898 LibB.Seq28444
LibB.Seq9903 LibB.Seq27981
LibB.Seq9912 LibB.Seq28997
LibB.Seq9932 LibB.Seq28206
LibB.Seq9940 LibB.Seq28736
LibB.Seq9943 LibB.Seq28052
LibB.Seq9948 LibB.Seq28990
LibB.Seq9949 LibB.Seq27667
LibB.Seq9950 LibB.Seq28150
LibB.Seq9957 LibB.Seq28482
LibB.Seq9969 LibB.Seq27984
LibB.Seq9986 LibB.Seq28130
LibB.Seq9990 LibB.Seq27538
LibB.Seq9995 LibB.Seq28121
LibB.Seq10003 LibB.Seq28918
LibB.Seq10004 LibB.Seq28213
LibB.Seq10017 LibB.Seq28989
LibB.Seq10018 LibB.Seq27859
LibB.Seq10019 LibB.Seq28969
LibB.Seq10023 LibB.Seq27586
LibB.Seq10030 LibB.Seq27935
LibB.Seq10033 LibB.Seq27898
LibB.Seq10047 LibB.Seq28156
LibB.Seq10048 LibB.Seq28098
LibB.Seq10049 LibB.Seq28968
LibB.Seq10053 LibB.Seq28792
LibB.Seq10056 LibB.Seq27861
LibB.Seq10063 LibB.Seq28008
LibB.Seq10065 LibB.Seq28087
LibB.Seq10069 LibB.Seq28694
LibB.Seq10070 LibB.Seq28516
LibB.Seq10088 LibB.Seq27744
LibB.Seq10090 LibB.Seq28023
LibB.Seq10101 LibB.Seq27505
LibB.Seq10115 LibB.Seq27881
LibB.Seq10121 LibB.Seq28410
LibB.Seq10124 LibB.Seq28267
LibB.Seq10130 LibB.Seq28903
LibB.Seq10142 LibB.Seq28974
LibB.Seq10154 LibB.Seq28342
LibB.Seq10157 LibB.Seq27784
LibB.Seq10161 LibB.Seq27546
LibB.Seq10172 LibB.Seq28824
LibB.Seq10181 LibB.Seq28304
LibB.Seq10190 LibB.Seq27539
LibB.Seq10198 LibB.Seq28794
LibB.Seq10212 LibB.Seq28388
LibB.Seq10236 LibB.Seq27664
LibB.Seq10244 LibB.Seq27711
LibB.Seq10250 LibB.Seq28471
LibB.Seq10256 LibB.Seq28517
LibB.Seq10265 LibB.Seq28065
LibB.Seq10273 LibB.Seq28755
LibB.Seq10311 LibB.Seq27759
LibB.Seq10322 LibB.Seq28970
LibB.Seq10332 LibB.Seq28538
LibB.Seq10333 LibB.Seq28762
LibB.Seq10335 LibB.Seq27970
LibB.Seq10344 LibB.Seq27613
LibB.Seq10349 LibB.Seq27917
LibB.Seq10351 LibB.Seq27904
LibB.Seq10356 LibB.Seq27803
LibB.Seq10357 LibB.Seq28466
LibB.Seq10358 LibB.Seq28270
LibB.Seq10359 LibB.Seq28638
LibB.Seq10360 LibB.Seq27921
LibB.Seq10362 LibB.Seq28526
LibB.Seq10363 LibB.Seq28289
LibB.Seq10377 LibB.Seq28252
LibB.Seq10380 LibB.Seq27932
LibB.Seq10383 LibB.Seq28539
LibB.Seq10413 LibB.Seq28919
LibB.Seq10414 LibB.Seq27882
LibB.Seq10425 LibB.Seq28577
LibB.Seq10426 LibB.Seq28308
LibB.Seq10429 LibB.Seq28646
LibB.Seq10431 LibB.Seq27843
LibB.Seq10439 LibB.Seq28170
LibB.Seq10445 LibB.Seq27961
LibB.Seq10451 LibB.Seq28846
LibB.Seq10460 LibB.Seq28547
LibB.Seq10465 LibB.Seq28666
LibB.Seq10469 LibB.Seq28004
LibB.Seq10504 LibB.Seq28045
LibB.Seq10509 LibB.Seq27805
LibB.Seq10511 LibB.Seq27901
LibB.Seq10531 LibB.Seq28931
LibB.Seq10546 LibB.Seq27537
LibB.Seq10548 LibB.Seq28641
LibB.Seq10549 LibB.Seq28674
LibB.Seq10562 LibB.Seq28615
LibB.Seq10569 LibB.Seq28750
LibB.Seq10606 LibB.Seq27565
LibB.Seq10619 LibB.Seq27527
LibB.Seq10638 LibB.Seq28929
LibB.Seq10647 LibB.Seq28486
LibB.Seq10654 LibB.Seq28124
LibB.Seq10656 LibB.Seq27996
LibB.Seq10660 LibB.Seq27983
LibB.Seq10673 LibB.Seq28284
LibB.Seq10680 LibB.Seq28332
LibB.Seq10686 LibB.Seq28286
LibB.Seq10697 LibB.Seq28982
LibB.Seq10704 LibB.Seq28005
LibB.Seq10709 LibB.Seq27761
LibB.Seq10715 LibB.Seq27564
LibB.Seq10724 LibB.Seq28835
LibB.Seq10736 LibB.Seq27569
LibB.Seq10759 LibB.Seq28831
LibB.Seq10765 LibB.Seq28088
LibB.Seq10772 LibB.Seq27750
LibB.Seq10785 LibB.Seq28916
LibB.Seq10793 LibB.Seq28401
LibB.Seq10798 LibB.Seq28261
LibB.Seq10806 LibB.Seq27808
LibB.Seq10811 LibB.Seq28327
LibB.Seq10820 LibB.Seq27929
LibB.Seq10828 LibB.Seq28137
LibB.Seq10838 LibB.Seq27897
LibB.Seq10841 LibB.Seq28689
LibB.Seq10854 LibB.Seq28214
LibB.Seq10885 LibB.Seq28108
LibB.Seq10886 LibB.Seq27617
LibB.Seq10887 LibB.Seq28838
LibB.Seq10898 LibB.Seq27532
LibB.Seq10910 LibB.Seq28953
LibB.Seq10912 LibB.Seq27927
LibB.Seq10937 LibB.Seq27634
LibB.Seq10941 LibB.Seq27871
LibB.Seq10948 LibB.Seq27605
LibB.Seq10952 LibB.Seq27690
LibB.Seq10965 LibB.Seq28908
LibB.Seq10976 LibB.Seq27671
LibB.Seq10983 LibB.Seq28462
LibB.Seq10994 LibB.Seq28936
LibB.Seq10995 LibB.Seq28701
LibB.Seq11013 LibB.Seq27689
LibB.Seq11015 LibB.Seq28318
LibB.Seq11018 LibB.Seq28221
LibB.Seq11031 LibB.Seq27960
LibB.Seq11035 LibB.Seq27873
LibB.Seq11056 LibB.Seq28287
LibB.Seq11061 LibB.Seq27568
LibB.Seq11079 LibB.Seq28236
LibB.Seq11092 LibB.Seq27661
LibB.Seq11098 LibB.Seq28395
LibB.Seq11113 LibB.Seq28281
LibB.Seq11114 LibB.Seq27943
LibB.Seq11116 LibB.Seq27790
LibB.Seq11117 LibB.Seq27905
LibB.Seq11127 LibB.Seq28589
LibB.Seq11141 LibB.Seq28537
LibB.Seq11152 LibB.Seq28528
LibB.Seq11156 LibB.Seq27908
LibB.Seq11162 LibB.Seq27609
LibB.Seq11174 LibB.Seq28652
LibB.Seq11175 LibB.Seq28002
LibB.Seq11177 LibB.Seq28583
LibB.Seq11189 LibB.Seq28025
LibB.Seq11192 LibB.Seq27892
LibB.Seq11200 LibB.Seq27768
LibB.Seq11204 LibB.Seq28523
LibB.Seq11214 LibB.Seq28268
LibB.Seq11216 LibB.Seq27566
LibB.Seq11219 LibB.Seq28340
LibB.Seq11227 LibB.Seq28240
